DateTime;Value (Cluster1.DRIVDAL_INNTAK_NIVA_OPPSTROM_KOTE_PV);Unit (Cluster1.DRIVDAL_INNTAK_NIVA_OPPSTROM_KOTE_PV);Value (Cluster1.DRIVDAL_G1_GEN_F_PV);Unit (Cluster1.DRIVDAL_G1_GEN_F_PV);Value (Cluster1.DRIVDAL_G1_GEN_COSPHI_PV);Unit (Cluster1.DRIVDAL_G1_GEN_COSPHI_PV);Value (Cluster1.DRIVDAL_INNTAK_MAGASIN_TOT_VF_PV);Unit (Cluster1.DRIVDAL_INNTAK_MAGASIN_TOT_VF_PV);Value (Cluster1.DRIVDAL_G1_GEN_P_PV);Unit (Cluster1.DRIVDAL_G1_GEN_P_PV);Value (Cluster1.DRIVDAL_G1_GEN_TURTALL_PV);Unit (Cluster1.DRIVDAL_G1_GEN_TURTALL_PV);Value (Cluster1.DRIVDAL_G1_GEN_Q_PV);Unit (Cluster1.DRIVDAL_G1_GEN_Q_PV);Value (Cluster1.DRIVDAL_G1_TURB_VIRKNGRD_PV);Unit (Cluster1.DRIVDAL_G1_TURB_VIRKNGRD_PV);Value (Cluster1.DRIVDAL_INNTAK_MAGASIN_VOLUM_PV);Unit (Cluster1.DRIVDAL_INNTAK_MAGASIN_VOLUM_PV);Value (Cluster1.DRIVDAL_INNTAK_MINVF_LITER_PV);Unit (Cluster1.DRIVDAL_INNTAK_MINVF_LITER_PV);Value (Cluster1.DRIVDAL_G1_TURB_VF_PV);Unit (Cluster1.DRIVDAL_G1_TURB_VF_PV);Value (Cluster1.DRIVDAL_G1_GEN_TIMETELLER_PV);Unit (Cluster1.DRIVDAL_G1_GEN_TIMETELLER_PV);Value (Cluster1.DRIVDAL_G1_TURB_PADRAG_PV);Unit (Cluster1.DRIVDAL_G1_TURB_PADRAG_PV);Value (Cluster1.DRIVDAL_G1_KONTROLL_AGC_DB_SP);Unit (Cluster1.DRIVDAL_G1_KONTROLL_AGC_DB_SP);Value (Cluster1.DRIVDAL_G1_RORGATE_VANN_TRYKK_PV);Unit (Cluster1.DRIVDAL_G1_RORGATE_VANN_TRYKK_PV);Value (Cluster1.DRIVDAL_KRST_KONTROLL_KOM_AL);Unit (Cluster1.DRIVDAL_KRST_KONTROLL_KOM_AL);Value (Cluster1.DRIVDAL_INNTAK_MAGASIN_NED_KAP_PV);Unit (Cluster1.DRIVDAL_INNTAK_MAGASIN_NED_KAP_PV);Value (Cluster1.DRIVDAL_INNTAK_NIVA_OVERLOP_VF_PV);Unit (Cluster1.DRIVDAL_INNTAK_NIVA_OVERLOP_VF_PV);Value (Cluster1.DRIVDAL_G1_HYDRL_OLJE_TRYKK_PV);Unit (Cluster1.DRIVDAL_G1_HYDRL_OLJE_TRYKK_PV);Value (Cluster1.DRIVDAL_G1_GEN_S_PV);Unit (Cluster1.DRIVDAL_G1_GEN_S_PV);Value (Cluster1.DRIVDAL_INNTAK_NIVA_OPPSTROM_REF_HRV_PV);Unit (Cluster1.DRIVDAL_INNTAK_NIVA_OPPSTROM_REF_HRV_PV);Value (Cluster1.DRIVDAL_INNTAK_MAGASIN_FYLLGRAD_PV);Unit (Cluster1.DRIVDAL_INNTAK_MAGASIN_FYLLGRAD_PV);Value (Cluster1.DRIVDAL_INNTAK_MINVF_CM_PV);Unit (Cluster1.DRIVDAL_INNTAK_MINVF_CM_PV)
2025-12-31 23:00:00.000;150,96360112129474;moh;0;Hz;0;None;0,09116055864069443;m3/s;0;kW;0;rpm;0;KVar;0;%;0,10249604916872222;Mill.m3;91,16663594976669;l/s;0;m3/s;624189,6875;t;45;%;1,938776016;None;98,25237800173036;mKVs;0;None;12,063586341694444;mm;0;m3/s;92,936465;bar;0;KVa;-23,63136715411111;cm;68,33069941125;%;33,53571633623412;cm
2026-01-01 00:00:00.000;150,9672557458509;moh;0;Hz;0;None;0,09106333742152779;m3/s;0;kW;0;rpm;0;KVar;0;%;0,10355632328722222;Mill.m3;91,06117634111808;l/s;0;m3/s;624189,6875;t;45;%;1,938776016;None;98,23929436991594;mKVs;0;None;11,772011016277778;mm;0;m3/s;93,96715166666667;bar;0;KVa;-23,272700839861113;cm;69,03754910233333;%;33,53332931879858;cm
2026-01-01 01:00:00.000;150,97019759823263;moh;0;Hz;0;None;0,09126750386083332;m3/s;0;kW;0;rpm;0;KVar;0;%;0,10397134461555556;Mill.m3;91,27996658226508;l/s;0;m3/s;624189,6875;t;45;%;1,938776016;None;98,21429640462351;mKVs;0;None;11,657879935805555;mm;0;m3/s;93,92254833333334;bar;0;KVa;-22,989315456416666;cm;69,31422922211111;%;33,56072012760582;cm
2026-01-01 02:00:00.000;150,97091119853076;moh;0;Hz;0;None;0,09145417019013888;m3/s;0;kW;0;rpm;0;KVar;0;%;0,10421815566027778;Mill.m3;91,45743023554567;l/s;0;m3/s;624189,6875;t;45;%;1,938776016;None;98,20238425738596;mKVs;0;None;11,59000693425;mm;0;m3/s;93,62022388888889;bar;0;KVa;-22,912584942666665;cm;69,47877114425;%;33,5750039119947;cm
2026-01-01 03:00:00.000;150,973280396689;moh;0;Hz;0;None;0,09158444748305557;m3/s;0;kW;0;rpm;0;KVar;0;%;0,10466893614194446;Mill.m3;91,59251960150425;l/s;0;m3/s;624189,6875;t;45;%;1,938776016;None;98,26307742273633;mKVs;0;None;11,466042836388889;mm;0;m3/s;94,10409361111111;bar;0;KVa;-22,667753434027777;cm;69,77929041077778;%;33,583337102820394;cm
2026-01-01 04:00:00.000;150,97631014946452;moh;0;Hz;0;None;0,09178861431555557;m3/s;0;kW;0;rpm;0;KVar;0;%;0,10527121564916668;Mill.m3;91,79140902901516;l/s;0;m3/s;624189,6875;t;45;%;1,938776016;None;98,2285972286471;mKVs;0;None;11,30041546325;mm;0;m3/s;94,22331138888889;bar;0;KVa;-22,369681465694445;cm;70,18081175294445;%;33,61666181288318;cm
2026-01-01 05:00:00.000;150,97945536332048;moh;0;Hz;0;None;0,09184694809833334;m3/s;0;kW;0;rpm;0;KVar;0;%;0,10588694098555554;Mill.m3;91,85457019902309;l/s;0;m3/s;624189,6875;t;45;%;1,938776016;None;98,23985533138529;mKVs;0;None;11,131090801694445;mm;0;m3/s;93,92687583333333;bar;0;KVa;-22,05597771686111;cm;70,59129500891666;%;33,62561187398632;cm
2026-01-01 06:00:00.000;150,98444710344847;moh;0;Hz;0;None;0,09199472556333332;m3/s;0;kW;0;rpm;0;KVar;0;%;0,10685493322166667;Mill.m3;91,99175836654558;l/s;0;m3/s;624189,6875;t;45;%;1,938776016;None;98,24403523965393;mKVs;0;None;10,864892961694444;mm;0;m3/s;94,16534055555556;bar;0;KVa;-21,559189691805557;cm;71,23662435925;%;33,65596676706373;cm
2026-01-01 07:00:00.000;150,98800051976724;moh;0;Hz;0;None;0,09213667090000001;m3/s;0;kW;0;rpm;0;KVar;0;%;0,10758643875138889;Mill.m3;92,14154126321395;l/s;0;m3/s;624189,6875;t;45;%;1,938776016;None;98,23097505282477;mKVs;0;None;10,663728714583334;mm;0;m3/s;93,75686444444445;bar;0;KVa;-21,202888489055557;cm;71,72429593402778;%;33,67736385634993;cm
2026-01-01 08:00:00.000;150,99118087549425;moh;0;Hz;0;None;0,09217361557666667;m3/s;0;kW;0;rpm;0;KVar;0;%;0,10824090741166668;Mill.m3;92,16680462295187;l/s;0;m3/s;624189,6875;t;45;%;1,938776016;None;98,22263689071559;mKVs;0;None;10,483750450083333;mm;0;m3/s;91,88584861111111;bar;0;KVa;-20,883428785;cm;72,16060473169445;%;33,68097282890958;cm
