Anlegg,Jan,Feb,Mar,Apr,ÅTD_korrekt
Drivdal,532213,301307,1532703,860687,3226910
Grødemfoss,2318169,1947862,2188924,1888838,8343793
Haukland,4310451,1729888,2984670,2266525,11291534
Honnefoss,1359519,1139772,1279778,1078640,4857709
Liavatn,303498,254479,210733,121932,890642
Lindland,5616514,1334048,6513414,4888005,18351982
Løgjen,124597,79142,326851,180459,711049
Stølskraft,4151,4521,16232,142624,167528
Vikeså,1187005,482373,2821869,1857498,6715141
Øgreyfoss,3799471,1460952,10296792,7202942,22760157
Ørsdalen,88532,126168,1758539,1407640,3380879
SUM,19644120,8860511,29930505,21895789,80697323
