plant_id;signal_id;csv_column;unit;role;dam_id;formaal;status;kommentar
drivdal;DRIVDAL_G1_GEN_P_PV;Cluster1.DRIVDAL_G1_GEN_P_PV;kW;GeneratorActivePower;;Effektivitet + Vakt-ROI + klassifikator;aktiv;G1 aktiv effekt
drivdal;DRIVDAL_G1_TURB_VF_PV;Cluster1.DRIVDAL_G1_TURB_VF_PV;m3/s;TurbineWaterFlow;;Effektivitet + tilsigsmodell;aktiv;G1 turbin vannfoering
drivdal;DRIVDAL_G1_TURB_VIRKNGRD_PV;Cluster1.DRIVDAL_G1_TURB_VIRKNGRD_PV;%;TurbineEfficiency;;Effektivitet;aktiv;G1 virkningsgrad
drivdal;DRIVDAL_INNTAK_NIVA_OVERLOP_VF_PV;Cluster1.DRIVDAL_INNTAK_NIVA_OVERLOP_VF_PV;m3/s;OverflowFlow;drivdal_main;Vakt-ROI overloep;aktiv;Overloep inntak
drivdal;DRIVDAL_INNTAK_MAGASIN_FYLLGRAD_PV;Cluster1.DRIVDAL_INNTAK_MAGASIN_FYLLGRAD_PV;%;ReservoirFillFactor;drivdal_main;Tilsigsmodell;aktiv;Fyllgrad inntak
drivdal;DRIVDAL_INNTAK_NIVA_OPPSTROM_KOTE_PV;Cluster1.DRIVDAL_INNTAK_NIVA_OPPSTROM_KOTE_PV;moh;UpstreamLevel;drivdal_main;Vakt-ROI (level-modus);aktiv;Oppstroms kote
drivdal;DRIVDAL_KRST_KONTROLL_KOM_AL;Cluster1.DRIVDAL_KRST_KONTROLL_KOM_AL;;CommunicationAlarm;;Datakvalitet;aktiv;Kommunikasjons-alarm
grodemfoss;GRODEM_G2_GEN_P_PV;Cluster1.GRODEM_G2_GEN_P_PV;kW;GeneratorActivePower;;Effektivitet + Vakt-ROI + klassifikator;aktiv;G2 aktiv effekt
grodemfoss;GRODEM_G2_TURB_VF_PV;Cluster1.GRODEM_G2_TURB_VF_PV;m3/s;TurbineWaterFlow;;Effektivitet + tilsigsmodell;aktiv;G2 turbin vannfoering
grodemfoss;GRODEM_G2_TURB_VIRKNGRD_PV;Cluster1.GRODEM_G2_TURB_VIRKNGRD_PV;%;TurbineEfficiency;;Effektivitet;aktiv;G2 virkningsgrad
grodemfoss;GRODEM_SMIEVT_KONTROLL_MAG_OVLOP_PV;Cluster1.GRODEM_SMIEVT_KONTROLL_MAG_OVLOP_PV;m3/s;OverflowFlow;grodemfoss_main;Vakt-ROI overloep;aktiv;Smievatn overloep (inntak)
