plant_id;signal_id;csv_column;unit;role;dam_id;store_samples;kommentar
drivdal;DRIVDAL_G1_GEN_P_PV;Cluster1.DRIVDAL_G1_GEN_P_PV;kW;GeneratorActivePower;;true;Generator G1 aktiv effekt
drivdal;DRIVDAL_G1_GEN_TURTALL_PV;Cluster1.DRIVDAL_G1_GEN_TURTALL_PV;rpm;GeneratorRpm;;true;Generator G1 turtall
drivdal;DRIVDAL_G1_GEN_F_PV;Cluster1.DRIVDAL_G1_GEN_F_PV;Hz;GeneratorFrequency;;true;Generator G1 frekvens
drivdal;DRIVDAL_G1_GEN_COSPHI_PV;Cluster1.DRIVDAL_G1_GEN_COSPHI_PV;None;ElectricalMeasurement;;true;cos phi
drivdal;DRIVDAL_G1_GEN_Q_PV;Cluster1.DRIVDAL_G1_GEN_Q_PV;KVar;ElectricalMeasurement;;true;Reaktiv effekt
drivdal;DRIVDAL_G1_GEN_S_PV;Cluster1.DRIVDAL_G1_GEN_S_PV;KVa;ElectricalMeasurement;;true;Tilsynelatende effekt
drivdal;DRIVDAL_G1_GEN_TIMETELLER_PV;Cluster1.DRIVDAL_G1_GEN_TIMETELLER_PV;t;Other;;true;Driftstimer
drivdal;DRIVDAL_G1_GEN_PROD_I_AR_PV;Cluster1.DRIVDAL_G1_GEN_PROD_I_AR_PV;kWh;Other;;true;Produksjon hittil i aar
drivdal;DRIVDAL_G1_TURB_VF_PV;Cluster1.DRIVDAL_G1_TURB_VF_PV;m3/s;TurbineWaterFlow;;true;Turbin vannfoering
drivdal;DRIVDAL_G1_TURB_VIRKNGRD_PV;Cluster1.DRIVDAL_G1_TURB_VIRKNGRD_PV;%;TurbineEfficiency;;true;Turbin virkningsgrad
drivdal;DRIVDAL_G1_TURB_PADRAG_PV;Cluster1.DRIVDAL_G1_TURB_PADRAG_PV;%;TurbinePadrag;;true;Paadrag-settpunkt
drivdal;DRIVDAL_G1_TURB_LEDEAPP_POS_PV;Cluster1.DRIVDAL_G1_TURB_LEDEAPP_POS_PV;%;GuideVanePosition;;true;Ledeapparat-posisjon
drivdal;DRIVDAL_G1_RORGATE_VANN_TRYKK_PV;Cluster1.DRIVDAL_G1_RORGATE_VANN_TRYKK_PV;mKVs;HydraulicPressure;;true;Roergate vanntrykk
drivdal;DRIVDAL_G1_HYDRL_OLJE_TRYKK_PV;Cluster1.DRIVDAL_G1_HYDRL_OLJE_TRYKK_PV;bar;HydraulicPressure;;true;Hydraulikk oljetrykk
drivdal;DRIVDAL_G1_KONTROLL_AGC_DB_SP;Cluster1.DRIVDAL_G1_KONTROLL_AGC_DB_SP;None;Other;;true;AGC daadband settpunkt
drivdal;DRIVDAL_G1_KONTROLL_AUTOSTART_NIVA_SP_SP_LAST;Cluster1.DRIVDAL_G1_KONTROLL_AUTOSTART_NIVA_SP_SP_LAST;None;Other;;true;Autostart nivaa SP
drivdal;DRIVDAL_G1_KONTROLL_AUTOSTART_NIVA_SP_TM_PV;Cluster1.DRIVDAL_G1_KONTROLL_AUTOSTART_NIVA_SP_TM_PV;None;Other;;true;Autostart nivaa TM
drivdal;DRIVDAL_G1_KONTROLL_AUTOSTOPP_P_SP_SP_LAST;Cluster1.DRIVDAL_G1_KONTROLL_AUTOSTOPP_P_SP_SP_LAST;None;Other;;true;Autostopp P SP
drivdal;DRIVDAL_G1_KONTROLL_AUTOSTOPP_P_SP_TM_PV;Cluster1.DRIVDAL_G1_KONTROLL_AUTOSTOPP_P_SP_TM_PV;None;Other;;true;Autostopp P TM
drivdal;DRIVDAL_G1_KONTROLL_AUTOSTOPP_TID_SP_SP_LAST;Cluster1.DRIVDAL_G1_KONTROLL_AUTOSTOPP_TID_SP_SP_LAST;None;Other;;true;Autostopp tid SP
drivdal;DRIVDAL_G1_KONTROLL_AUTOSTOPP_TID_SP_TM_PV;Cluster1.DRIVDAL_G1_KONTROLL_AUTOSTOPP_TID_SP_TM_PV;None;Other;;true;Autostopp tid TM
drivdal;DRIVDAL_G1_KONTROLL_REG_NIVA_SP_SP_LAST;Cluster1.DRIVDAL_G1_KONTROLL_REG_NIVA_SP_SP_LAST;None;Other;;true;Reg nivaa SP
drivdal;DRIVDAL_G1_KONTROLL_REG_NIVA_SP_TM_PV;Cluster1.DRIVDAL_G1_KONTROLL_REG_NIVA_SP_TM_PV;None;Other;;true;Reg nivaa TM
drivdal;DRIVDAL_G1_KONTROLL_REG_P_SP_SP_LAST;Cluster1.DRIVDAL_G1_KONTROLL_REG_P_SP_SP_LAST;None;Other;;true;Reg P SP
drivdal;DRIVDAL_G1_KONTROLL_REG_P_SP_TM_PV;Cluster1.DRIVDAL_G1_KONTROLL_REG_P_SP_TM_PV;None;Other;;true;Reg P TM
drivdal;DRIVDAL_INNTAK_NIVA_OPPSTROM_KOTE_PV;Cluster1.DRIVDAL_INNTAK_NIVA_OPPSTROM_KOTE_PV;moh;UpstreamLevel;drivdal_main;true;Oppstroms kote
drivdal;DRIVDAL_INNTAK_NIVA_OPPSTROM_REF_HRV_PV;Cluster1.DRIVDAL_INNTAK_NIVA_OPPSTROM_REF_HRV_PV;cm;Other;;true;Oppstroms ref HRV
