plant_id;signal_id;csv_column;unit;role;dam_id;forbruker;kommentar
drivdal;DRIVDAL_G1_GEN_P_PV;Cluster1.DRIVDAL_G1_GEN_P_PV;kW;GeneratorActivePower;;EffektivitetQueryService;G1 aktiv effekt
drivdal;DRIVDAL_G1_TURB_VF_PV;Cluster1.DRIVDAL_G1_TURB_VF_PV;m3/s;TurbineWaterFlow;;EffektivitetQueryService + InflowOverflowQueryService;G1 turbin vannfoering
drivdal;DRIVDAL_G1_TURB_VIRKNGRD_PV;Cluster1.DRIVDAL_G1_TURB_VIRKNGRD_PV;%;TurbineEfficiency;;EffektivitetQueryService;G1 virkningsgrad
drivdal;DRIVDAL_INNTAK_NIVA_OVERLOP_VF_PV;Cluster1.DRIVDAL_INNTAK_NIVA_OVERLOP_VF_PV;m3/s;OverflowFlow;drivdal_main;OverflowQueryService (Vakt-ROI);Overloep VF terminal-dam
drivdal;DRIVDAL_INNTAK_MAGASIN_FYLLGRAD_PV;Cluster1.DRIVDAL_INNTAK_MAGASIN_FYLLGRAD_PV;%;ReservoirFillFactor;drivdal_main;InflowOverflowQueryService;Fyllgrad terminal-dam
grodemfoss;GRODEM_G2_GEN_P_PV;Cluster1.GRODEM_G2_GEN_P_PV;kW;GeneratorActivePower;;EffektivitetQueryService;G2 aktiv effekt
grodemfoss;GRODEM_G2_TURB_VF_PV;Cluster1.GRODEM_G2_TURB_VF_PV;m3/s;TurbineWaterFlow;;EffektivitetQueryService + InflowOverflowQueryService;G2 turbin vannfoering
grodemfoss;GRODEM_G2_TURB_VIRKNGRD_PV;Cluster1.GRODEM_G2_TURB_VIRKNGRD_PV;%;TurbineEfficiency;;EffektivitetQueryService;G2 virkningsgrad
grodemfoss;GRODEM_SMIEVT_KONTROLL_MAG_OVLOP_PV;Cluster1.GRODEM_SMIEVT_KONTROLL_MAG_OVLOP_PV;m3/s;OverflowFlow;grodemfoss_main;OverflowQueryService (Vakt-ROI);Smievatn overloep
grodemfoss;GRODEM_SMIEVT_KONTROLL_MAG_VOLUM_PV;Cluster1.GRODEM_SMIEVT_KONTROLL_MAG_VOLUM_PV;Mill.m3;ReservoirVolume;grodemfoss_main;InflowOverflowQueryService;Smievatn volum
grodemfoss;GRODEM_SMIEVT_KONTROLL_TOT_VF_PV;Cluster1.GRODEM_SMIEVT_KONTROLL_TOT_VF_PV;m3/s;TotalDamFlow;grodemfoss_main;InflowOverflowQueryService;Smievatn total VF
grodemfoss;GRODEM_SMIEVT_KONTROLL_MAG_FYLLGRD_PV;Cluster1.GRODEM_SMIEVT_KONTROLL_MAG_FYLLGRD_PV;%;ReservoirFillFactor;grodemfoss_main;InflowOverflowQueryService;Smievatn fyllgrad
honnefoss;HONNE_G1_GEN_P_PV;Cluster1.HONNE_G1_GEN_P_PV;kW;GeneratorActivePower;;EffektivitetQueryService;G1 aktiv effekt
honnefoss;HONNE_G1_TURB_VF_PV;Cluster1.HONNE_G1_TURB_VF_PV;m3/s;TurbineWaterFlow;;EffektivitetQueryService + InflowOverflowQueryService;G1 turbin vannfoering
honnefoss;HONNE_G1_TURB_VIRKNGRD_PV;Cluster1.HONNE_G1_TURB_VIRKNGRD_PV;%;TurbineEfficiency;;EffektivitetQueryService;G1 virkningsgrad
honnefoss;HONNE_INNTAK_NIVA_OVERLOP_VF_PV;Cluster1.HONNE_INNTAK_NIVA_OVERLOP_VF_PV;m3/s;OverflowFlow;honnefoss_inntak;OverflowQueryService (Vakt-ROI);Overloep terminal-dam
honnefoss;HONNE_INNTAK_MAGASIN_VOLUM_PV;Cluster1.HONNE_INNTAK_MAGASIN_VOLUM_PV;Mill.m3;ReservoirVolume;honnefoss_inntak;InflowOverflowQueryService;Volum terminal-dam
honnefoss;HONNE_INNTAK_MAGASIN_TOT_VF_PV;Cluster1.HONNE_INNTAK_MAGASIN_TOT_VF_PV;m3/s;TotalDamFlow;honnefoss_inntak;InflowOverflowQueryService;Total VF terminal-dam
honnefoss;HONNE_INNTAK_MAGASIN_FYLLGRAD_PV;Cluster1.HONNE_INNTAK_MAGASIN_FYLLGRAD_PV;%;ReservoirFillFactor;honnefoss_inntak;InflowOverflowQueryService;Fyllgrad terminal-dam
lindland;LINDLAND_G1_GEN_P_PV;Value (Cluster1.LINDLAND_G1_GEN_P_PV);kW;GeneratorActivePower;;EffektivitetQueryService;G1 aktiv effekt (v1 bruker en av G1/G2)
lindland;LINDLAND_G2_GEN_P_PV;Value (Cluster1.LINDLAND_G2_GEN_P_PV);kW;GeneratorActivePower;;EffektivitetQueryService;G2 aktiv effekt - hent for multi-gen-fremtid
lindland;LINDLAND_G1_TURB_VF_PV;Value (Cluster1.LINDLAND_G1_TURB_VF_PV);m3/s;TurbineWaterFlow;;EffektivitetQueryService + InflowOverflowQueryService;G1 turbin VF
lindland;LINDLAND_G2_TURB_VF_PV;Value (Cluster1.LINDLAND_G2_TURB_VF_PV);m3/s;TurbineWaterFlow;;EffektivitetQueryService + InflowOverflowQueryService;G2 turbin VF
lindland;LINDLAND_G1_TURB_VIRKNGRD_PV;Value (Cluster1.LINDLAND_G1_TURB_VIRKNGRD_PV);%;TurbineEfficiency;;EffektivitetQueryService;G1 virkningsgrad
lindland;LINDLAND_G2_TURB_VIRKNGRD_PV;Value (Cluster1.LINDLAND_G2_TURB_VIRKNGRD_PV);%;TurbineEfficiency;;EffektivitetQueryService;G2 virkningsgrad
lindland;LINDLAND_INNTAK_NIVA_OVERLOP_VF_PV;Value (Cluster1.LINDLAND_INNTAK_NIVA_OVERLOP_VF_PV);m3/s;OverflowFlow;lindland_rosslandshølen;OverflowQueryService (Vakt-ROI);Overloep terminal-dam (Rosslandshoelen)
lindland;LINDLAND_INNTAK_KONTROLL_MAG_OVLOP_PV;Value (Cluster1.LINDLAND_INNTAK_KONTROLL_MAG_OVLOP_PV);m3/s;OverflowFlow;lindland_rosslandshølen;OverflowQueryService (Vakt-ROI);Overloep alt mapping - vurder fjerning av en
lindland;LINDLAND_INNTAK_KONTROLL_MAG_VOLUM_PV;Value (Cluster1.LINDLAND_INNTAK_KONTROLL_MAG_VOLUM_PV);Mill.m3;ReservoirVolume;lindland_rosslandshølen;InflowOverflowQueryService;Volum terminal-dam
lindland;LINDLAND_INNTAK_KONTROLL_TOT_VF_PV;Value (Cluster1.LINDLAND_INNTAK_KONTROLL_TOT_VF_PV);m3/s;TotalDamFlow;lindland_rosslandshølen;InflowOverflowQueryService;Total VF terminal-dam
lindland;LINDLAND_INNTAK_KONTROLL_MAG_FYLLGRD_PV;Value (Cluster1.LINDLAND_INNTAK_KONTROLL_MAG_FYLLGRD_PV);%;ReservoirFillFactor;lindland_rosslandshølen;InflowOverflowQueryService;Fyllgrad terminal-dam
haukland;HAUKLAND_G1_GEN_P_PV;Cluster1.HAUKLAND_G1_GEN_P_PV;kW;GeneratorActivePower;;EffektivitetQueryService;G1 aktiv effekt
haukland;HAUKLAND_G1_TURB_VF_PV;Cluster1.HAUKLAND_G1_TURB_VF_PV;m3/s;TurbineWaterFlow;;EffektivitetQueryService + InflowOverflowQueryService;G1 turbin vannfoering
haukland;HAUKLAND_G1_TURB_VIRKNGRD_PV;Cluster1.HAUKLAND_G1_TURB_VIRKNGRD_PV;%;TurbineEfficiency;;EffektivitetQueryService;G1 virkningsgrad
haukland;HAUKLAND_STEMMEVT_KONTROLL_MAG_OVLOP_PV;Cluster1.HAUKLAND_STEMMEVT_KONTROLL_MAG_OVLOP_PV;m3/s;OverflowFlow;haukland_stemmevt;OverflowQueryService (Vakt-ROI);Stemmevatn overloep (terminal)
haukland;HAUKLAND_STEMMEVT_KONTROLL_MAG_VOLUM_PV;Cluster1.HAUKLAND_STEMMEVT_KONTROLL_MAG_VOLUM_PV;Mill.m3;ReservoirVolume;haukland_stemmevt;InflowOverflowQueryService;Stemmevatn volum
haukland;HAUKLAND_STEMMEVT_KONTROLL_TOT_VF_PV;Cluster1.HAUKLAND_STEMMEVT_KONTROLL_TOT_VF_PV;m3/s;TotalDamFlow;haukland_stemmevt;InflowOverflowQueryService;Stemmevatn total VF
haukland;HAUKLAND_STEMMEVT_KONTROLL_MAG_FYLLGRD_PV;Cluster1.HAUKLAND_STEMMEVT_KONTROLL_MAG_FYLLGRD_PV;%;ReservoirFillFactor;haukland_stemmevt;InflowOverflowQueryService;Stemmevatn fyllgrad
